Place Name,Day,Time,Busyness
Clementi Mall,Sunday,6am,0
Clementi Mall,Sunday,7am,0
Clementi Mall,Sunday,8am,0
Clementi Mall,Sunday,9am,0
Clementi Mall,Sunday,10am,53
Clementi Mall,Sunday,11am,68
Clementi Mall,Sunday,12pm,77
Clementi Mall,Sunday,1pm,82
Clementi Mall,Sunday,2pm,82
Clementi Mall,Sunday,3pm,81
Clementi Mall,Sunday,4pm,84
Clementi Mall,Sunday,5pm,89
Clementi Mall,Sunday,6pm,91
Clementi Mall,Sunday,7pm,83
Clementi Mall,Sunday,8pm,66
Clementi Mall,Sunday,9pm,45
Clementi Mall,Sunday,10pm,0
Clementi Mall,Sunday,11pm,0
Clementi Mall,Monday,6am,0
Clementi Mall,Monday,7am,0
Clementi Mall,Monday,8am,0
Clementi Mall,Monday,9am,0
Clementi Mall,Monday,10am,40
Clementi Mall,Monday,11am,53
Clementi Mall,Monday,12pm,63
Clementi Mall,Monday,1pm,66
Clementi Mall,Monday,2pm,62
Clementi Mall,Monday,3pm,62
Clementi Mall,Monday,4pm,69
Clementi Mall,Monday,5pm,82
Clementi Mall,Monday,6pm,92
Clementi Mall,Monday,7pm,85
Clementi Mall,Monday,8pm,66
Clementi Mall,Monday,9pm,43
Clementi Mall,Monday,10pm,0
Clementi Mall,Monday,11pm,0
Clementi Mall,Tuesday,6am,0
Clementi Mall,Tuesday,7am,0
Clementi Mall,Tuesday,8am,0
Clementi Mall,Tuesday,9am,0
Clementi Mall,Tuesday,10am,42
Clementi Mall,Tuesday,11am,54
Clementi Mall,Tuesday,12pm,64
Clementi Mall,Tuesday,1pm,66
Clementi Mall,Tuesday,2pm,63
Clementi Mall,Tuesday,3pm,62
Clementi Mall,Tuesday,4pm,70
Clementi Mall,Tuesday,5pm,84
Clementi Mall,Tuesday,6pm,97
Clementi Mall,Tuesday,7pm,91
Clementi Mall,Tuesday,8pm,71
Clementi Mall,Tuesday,9pm,46
Clementi Mall,Tuesday,10pm,0
Clementi Mall,Tuesday,11pm,0
Clementi Mall,Wednesday,6am,0
Clementi Mall,Wednesday,7am,0
Clementi Mall,Wednesday,8am,0
Clementi Mall,Wednesday,9am,0
Clementi Mall,Wednesday,10am,42
Clementi Mall,Wednesday,11am,54
Clementi Mall,Wednesday,12pm,64
Clementi Mall,Wednesday,1pm,67
Clementi Mall,Wednesday,2pm,64
Clementi Mall,Wednesday,3pm,64
Clementi Mall,Wednesday,4pm,71
Clementi Mall,Wednesday,5pm,86
Clementi Mall,Wednesday,6pm,100
Clementi Mall,Wednesday,7pm,94
Clementi Mall,Wednesday,8pm,74
Clementi Mall,Wednesday,9pm,48
Clementi Mall,Wednesday,10pm,0
Clementi Mall,Wednesday,11pm,0
Clementi Mall,Thursday,6am,0
Clementi Mall,Thursday,7am,0
Clementi Mall,Thursday,8am,0
Clementi Mall,Thursday,9am,0
Clementi Mall,Thursday,10am,42
Clementi Mall,Thursday,11am,55
Clementi Mall,Thursday,12pm,65
Clementi Mall,Thursday,1pm,68
Clementi Mall,Thursday,2pm,65
Clementi Mall,Thursday,3pm,64
Clementi Mall,Thursday,4pm,71
Clementi Mall,Thursday,5pm,85
Clementi Mall,Thursday,6pm,97
Clementi Mall,Thursday,7pm,91
Clementi Mall,Thursday,8pm,72
Clementi Mall,Thursday,9pm,48
Clementi Mall,Thursday,10pm,0
Clementi Mall,Thursday,11pm,0
Clementi Mall,Friday,6am,0
Clementi Mall,Friday,7am,0
Clementi Mall,Friday,8am,0
Clementi Mall,Friday,9am,0
Clementi Mall,Friday,10am,42
Clementi Mall,Friday,11am,56
Clementi Mall,Friday,12pm,68
Clementi Mall,Friday,1pm,72
Clementi Mall,Friday,2pm,68
Clementi Mall,Friday,3pm,66
Clementi Mall,Friday,4pm,72
Clementi Mall,Friday,5pm,84
Clementi Mall,Friday,6pm,94
Clementi Mall,Friday,7pm,89
Clementi Mall,Friday,8pm,73
Clementi Mall,Friday,9pm,51
Clementi Mall,Friday,10pm,0
Clementi Mall,Friday,11pm,0
Clementi Mall,Saturday,6am,0
Clementi Mall,Saturday,7am,0
Clementi Mall,Saturday,8am,0
Clementi Mall,Saturday,9am,0
Clementi Mall,Saturday,10am,50
Clementi Mall,Saturday,11am,66
Clementi Mall,Saturday,12pm,77
Clementi Mall,Saturday,1pm,81
Clementi Mall,Saturday,2pm,79
Clementi Mall,Saturday,3pm,76
Clementi Mall,Saturday,4pm,77
Clementi Mall,Saturday,5pm,81
Clementi Mall,Saturday,6pm,84
Clementi Mall,Saturday,7pm,79
Clementi Mall,Saturday,8pm,67
Clementi Mall,Saturday,9pm,48
Clementi Mall,Saturday,10pm,0
Clementi Mall,Saturday,11pm,0
